puzzle_name,free_spaces,solvable,time,nodes,deadend
deadlock_6x6_01,24,s,0.00028610,74,1
extreme_10x10_01,90,s,1.08112407,965527,1
extreme_11x11_07,107,s,15.90268993,9795187,1
extreme_11x11_15,105,s,13.01213002,7289839,1
extreme_11x11_20,107,s,9.27944112,7076023,1
extreme_11x11_30,105,s,20.97830796,13806686,1
extreme_12x12_01,128,u,284.14786792,127667440,1
extreme_12x12_02,124,s,226.08193898,90772464,1
extreme_12x12_30,130,u,385.35671711,151703908,1
extreme_8x8_01,54,s,0.00902390,5932,1
extreme_9x9_01,73,s,0.13296509,126993,1
extreme_9x9_30,69,s,0.03187799,34888,1
jumbo_10x10_01,76,s,0.01002502,10651,1
jumbo_11x11_01,97,s,1.08261704,872191,1
jumbo_13x13_26,143,u,349.87093902,121539757,1
regular_5x5_01,15,s,0.00001597,17,1
regular_6x6_01,24,s,0.00029182,128,1
regular_7x7_01,37,s,0.00024199,213,1
regular_8x8_01,52,s,0.00211310,2219,1
regular_9x9_01,63,s,0.00709200,7285,1
unsolvable_cross,21,u,0.00012302,103,1
deadlock_6x6_01,24,s,0.00008106,74,1
extreme_10x10_01,90,s,1.13962984,965527,1
extreme_11x11_07,107,s,14.59896588,9795187,1
extreme_11x11_15,105,s,9.67973804,7289839,1
extreme_11x11_20,107,s,8.90886497,7076023,1
extreme_11x11_30,105,s,19.15045881,13806686,1
extreme_12x12_01,128,u,282.44424915,127679892,1
extreme_12x12_02,124,s,222.39533687,90754615,1
extreme_12x12_30,130,u,454.55875802,151793168,1
extreme_8x8_01,54,s,0.00900793,5932,1
extreme_9x9_01,73,s,0.13812709,126993,1
extreme_9x9_30,69,s,0.03330898,34888,1
jumbo_10x10_01,76,s,0.00955391,10651,1
jumbo_11x11_01,97,s,1.16235709,872191,1
jumbo_13x13_26,143,s,404.67472005,122232873,1
regular_5x5_01,15,s,0.00003695,17,1
regular_6x6_01,24,s,0.00030112,128,1
regular_7x7_01,37,s,0.00043893,213,1
regular_8x8_01,52,s,0.00464487,2219,1
regular_9x9_01,63,s,0.00852299,7285,1
unsolvable_cross,21,u,0.00013089,103,1
deadlock_6x6_01,24,s,0.00007582,74,1
extreme_10x10_01,90,s,1.10607004,965527,1
extreme_11x11_07,107,s,14.88834500,9795187,1
extreme_11x11_15,105,s,9.59965110,7289839,1
extreme_11x11_20,107,s,8.82888913,7076023,1
extreme_11x11_30,105,s,19.29527307,13806686,1
extreme_12x12_01,128,u,277.56037283,127970103,1
extreme_12x12_02,124,s,208.81745982,90710032,1
extreme_12x12_30,130,u,383.60630918,151890266,1
extreme_8x8_01,54,s,0.00524497,5932,1
extreme_9x9_01,73,s,0.13004613,126993,1
extreme_9x9_30,69,s,0.03267312,34888,1
jumbo_10x10_01,76,s,0.00952792,10651,1
jumbo_11x11_01,97,s,1.15919781,872191,1
jumbo_13x13_26,143,u,326.93614984,122476194,1
regular_5x5_01,15,s,0.00003600,17,1
regular_6x6_01,24,s,0.00030303,128,1
regular_7x7_01,37,s,0.00043702,213,1
regular_8x8_01,52,s,0.00338197,2219,1
regular_9x9_01,63,s,0.00760698,7285,1
unsolvable_cross,21,u,0.00010395,103,1
deadlock_6x6_01,24,s,0.00007510,74,1
extreme_10x10_01,90,s,1.07721877,965527,1
extreme_11x11_07,107,s,14.35652423,9795187,1
extreme_11x11_15,105,s,9.94019485,7289839,1
extreme_11x11_20,107,s,8.90678406,7076023,1
extreme_11x11_30,105,s,19.30054188,13806686,1
extreme_12x12_01,128,u,277.99968290,127798827,1
extreme_12x12_02,124,u,209.38325405,90768823,1
extreme_12x12_30,130,u,369.84834719,152211267,1
extreme_8x8_01,54,s,0.01298308,5932,1
extreme_9x9_01,73,s,0.13225102,126993,1
extreme_9x9_30,69,s,0.03189301,34888,1
jumbo_10x10_01,76,s,0.00976086,10651,1
jumbo_11x11_01,97,s,1.14235592,872191,1
jumbo_13x13_26,143,u,302.75891113,121826569,1
regular_5x5_01,15,s,0.00003695,17,1
regular_6x6_01,24,s,0.00032187,128,1
regular_7x7_01,37,s,0.00054884,213,1
regular_8x8_01,52,s,0.00452590,2219,1
regular_9x9_01,63,s,0.00817299,7285,1
unsolvable_cross,21,u,0.00010705,103,1
deadlock_6x6_01,24,s,0.00007796,74,1
extreme_10x10_01,90,s,1.08410501,965527,1
extreme_11x11_07,107,s,13.88617301,9795187,1
extreme_11x11_15,105,s,9.52036595,7289839,1
extreme_11x11_20,107,s,8.89939594,7076023,1
extreme_11x11_30,105,s,19.42075419,13806686,1
extreme_12x12_01,128,u,288.17699409,128106088,1
extreme_12x12_02,124,s,210.53547907,90887395,1
extreme_12x12_30,130,u,369.49153018,151838922,1
extreme_8x8_01,54,s,0.00921893,5932,1
extreme_9x9_01,73,s,0.13881302,126993,1
extreme_9x9_30,69,s,0.03209805,34888,1
jumbo_10x10_01,76,s,0.00930405,10651,1
jumbo_11x11_01,97,s,1.14305592,872191,1
jumbo_13x13_26,143,u,308.65634990,121854700,1
regular_5x5_01,15,s,0.00003791,17,1
regular_6x6_01,24,s,0.00029898,128,1
regular_7x7_01,37,s,0.00044394,213,1
regular_8x8_01,52,s,0.00467491,2219,1
regular_9x9_01,63,s,0.00828695,7285,1
unsolvable_cross,21,u,0.00011706,103,1
deadlock_6x6_01,24,s,0.00015092,202,0
extreme_10x10_01,90,u,334.27862597,147907656,0
extreme_11x11_07,107,u,598.58440781,201832073,0
extreme_11x11_15,105,u,483.20806885,174719090,0
extreme_11x11_20,107,u,401.19358897,198511347,0
extreme_11x11_30,105,u,411.70948601,172364210,0
deadlock_6x6_01,24,s,0.00011301,202,0
extreme_10x10_01,90,u,253.25384212,148219657,0
extreme_11x11_07,107,u,454.47664809,202476477,0
extreme_11x11_15,105,u,333.14360905,174281233,0
extreme_11x11_20,107,u,435.50381804,197968362,0
extreme_11x11_30,105,u,391.59048891,171931211,0
deadlock_6x6_01,24,s,0.00010800,202,0
extreme_10x10_01,90,u,260.99061108,148025918,0
extreme_11x11_07,107,u,411.30644798,202262449,0
extreme_11x11_15,105,u,329.81531501,174168042,0
extreme_11x11_20,107,u,389.17425895,198317341,0
extreme_11x11_30,105,u,396.50933003,172201040,0
deadlock_6x6_01,24,s,0.00010991,202,0
extreme_10x10_01,90,u,240.55566788,148137523,0
extreme_11x11_07,107,u,382.86394000,202302095,0
extreme_11x11_15,105,u,319.33882904,174379958,0
extreme_11x11_20,107,u,434.58283305,197905488,0
